基聲旁,後期韵部,上古前後演變,上古後期魯曹雅言,聲母,等,開合,韻母,聲調,反切,廣通中古拼音,南京官話拼音,字,略註
丩,侯,,gɔ,群,三,合,虞,平,其俱,güo,qü2,䧁蚼劬胊鼩斪葋𠣪𡱺,
丩,侯,,xˤɔɣ,曉,一,開,侯,上,呼后,hú,hou3,蚼,
丩,侯,,gɔ,群,三,合,虞,平,其俱,güo,qü2,䞤,
丩,侯,,kʰɔɣ,溪,三,合,虞,上,丘(匹芳)武,khüó,qü3,䞤,
丩,侯,,gɔ,群,三,合,虞,平,其俱,güo,qü2,句,地名音譯
丩,侯,,kˤɔ,見,一,開,侯,平,古侯,ku,gou1,句,
丩,侯,,kɔh,見,三,合,虞,去,九遇,küò,jü4,句,
丩,侯,,kˤɔh,見,一,開,侯,去,古候,kù,gou4,句,
丩,侯,,kˤɔ,見,一,開,侯,平,古侯,ku,gou1,夠,
丩,侯,,kʰˤɔ,溪,一,開,侯,平,恪侯,khu,kou1,夠,
丩,屋,,kʰˤɔkh,溪,一,開,侯,去,苦候,khù,kou4,怐1,怐愗同𡠆瞀
丩,屋,,kɔkh,見,三,合,虞,去,九遇,küò,jü4,怐1,
丩,屋,,kˤɔkh,見,一,開,侯,去,古候,kù,gou4,怐1,
丩,侯,,gɔ,群,三,合,虞,平,其俱,güo,qü2,絇,
丩,侯,,kɔh,見,三,合,虞,去,九遇,küò,jü4,蒟絇䈮邭,
丩,侯,,kɔɣ,見,三,合,虞,上,俱雨,küó,jü3,蒟,
丩,侯,,kɔ,見,三,合,虞,平,舉朱,küo,jü1,岣拘駒眗跔鮈痀,
丩,侯,,kˤɔɣ,見,一,開,侯,上,古厚,kú,gou3,岣苟玽狗笱𦊒耇敂豿,
丩,侯,,gɔ,群,三,合,虞,平,其俱,güo,qü2,𦐛,
丩,侯,,kɔɣ,見,三,合,虞,上,俱雨,küó,jü3,枸𦐛䅓,枸蜀方言木名
丩,侯,,kˤɔ,見,一,開,侯,平,古侯,ku,gou1,枸鉤𠛎𥴴𤫱䑦,
丩,侯,,kˤɔɣ,見,一,開,侯,上,古厚,kú,gou3,枸,
丩,侯,,kʰˤɔ,溪,一,開,侯,平,恪侯,khu,kou1,𢂁,
丩,侯,,kʰˤɔɣ,溪,一,開,侯,上,苦后,khú,kou3,竘,
丩,侯,,kʰɔɣ,溪,三,合,虞,上,驅雨,khüó,qü3,竘,
丩,侯,,xˤɔ,曉,一,開,侯,平,呼侯,hu,hou1,齁,
丩,侯,,xˤɔh,曉,一,開,侯,去,呼漏,hù,hou4,訽,
丩,侯,,ɣˤɔh,匣,一,開,侯,去,胡遘,xù,hou4,訽,
丩,屋,,xˤɔkh,曉,一,開,侯,去,呼漏,hù,hou4,豞䪷佝怐2,
丩,覺,,xʀˤok,曉,二,開,覺,入,許角,hrök,xo5,豞𦰾,
丩,屋,,kɔk,見,三,開,燭,入,居玉,kyok,jü5,鋦挶梮,
丩,屋,,gɔk,群,三,開,燭,入,渠玉,gyok,jü5,局跼駶侷䎤,
乂,月(月0),,xˤath,曉,一,開,泰,去,呼艾,hàj,hä4,餀𤵽,
乂,月(月0),,ŋˤath,疑,一,開,泰,去,五蓋,ngàj,ä4,艾1𧰿鴱,
乂,拜(月1),,ŋɛth,疑,三,開,廢,去,魚肺,ngyö̀j,i4,刈乂㲼㣻𩾘艾2䖊䢃,
乂,物,,ŋəth,疑,三,開,微,去,魚旣,ngyë̀i,i4,𢖫,
乃,之,,nˤəɣ,泥,一,開,咍,上,奴(如)亥,nö́i,lä3,疓,
乃,之,,nˤəɣ,泥,一,開,咍,上,奴亥,nö́i,lä3,鼐乃,
乃,之,,nˤəh,泥,一,開,咍,去,奴代,nö̀i,lä4,鼐,
乃,蒸,,nəŋ,日,三,開,蒸,平,如乗,njyng,ren2,扔㭁仍艿䚮辸礽,
乃,蒸,,nəŋh,日,三,開,蒸,去,而證,njỳng,ren4,扔㭁芿,
了|𠄏,宵,,ʀˤøɣ,來,四,開,蕭,上,盧鳥,liéu,liao3,了䑠𧘈,了，無出土文字。了𤁸瞭同
了|𠄏,宵,,sxˤøɣ,心,四,開,蕭,上,先鳥,siéu,siao3,𩵌,
了|𠄏,宵,,klˤøɣ,端,四,開,蕭,上,都了,tiéu,diao3,釕𠄏,
二,質,,nøth,日,三,開,脂A,去,而至,njì,er4,二弍貳樲,
二,質,,nʀøth,娘,三,開,脂B,去,女利,nyì,li4,膩,
二,質,,dʀøth,澄,三,開,脂B,去,直利,dcyì,zhr4,𢴧,
人,真(真0),eŋ>øn,nʀˤøn,泥,四,開,先,平,奴顚,nien,liän2,秊年𨚶,
人,耕,,nˤɛŋ,泥,四,開,青,平,奴丁,nieng,lin2,佞𨛲,佞類篇有囊丁切
人,耕,,nˤɛŋh,泥,四,開,青,去,乃定,nièng,lin4,佞,
人,真(真0),eŋ>øn,nʀøn,日,三,開,真A,平,如鄰,njin,ren2,仁朲人,
人,真(真0),eŋ>øn,sxønh,心,三,開,真A,去,息晉,sìn,sin4,信,訊信同
人,真(真0),eŋ>øn,skʰˤøn,清,四,開,先,平,蒼先,tshien,ciän1,芊千圱阡汘仟谸迁杄,
人,真(真0),eŋ>øn,skʰˤønh,清,四,開,先,去,倉甸,tshièn,ciän4,芊,
入,緝,,nəp,日,三,開,緝A,入,人執,njip,r5,入,
入,物,ˤep>ˤət,nʷˤəth,泥,一,合,灰,去,奴對,nuö̀i,luei4,內,
入,侵,,nˤəmh,泥,一,開,覃,去,奴紺,nö̀m,lang4,妠1,
入,緝,,nˤəp,泥,一,開,合,入,奴荅,nöp,la5,魶納䪏靹蒳軜衲妠2㨥,姶妠疊韻
入,葉(葉0),,nˤap,泥,一,開,盍,入,奴盍,nap,la5,魶𩚛,
入,業(葉1),,nˤɛp,泥,四,開,怗,入,奴協,niep,lie5,㘨,
入,緝,,nʷəph,日,三,合,支A,去,而瑞,njvï̀,ruei4,䄲,
入,緝,,nʀəp,娘,三,開,緝B,入,尼立,nyp,li5,𦮾,
入,葉(葉0),,nʀap,娘,三,開,葉B,入,尼輒,nyäp,lie5,𤴘,
入,緝,,nʀʷəph,娘,三,合,支B,去,女恚,nüï̀,luei4,㨅,
入,月(月0),ep>at,tʀʷath,知,三,合,祭B,去,陟衛,tcüèj,zhuei4,笍2,
入,月(月0),ep>at,lath,以,三,開,祭A,去,餘制,jièj,i4,裔㵝䕍,
入,月(月0),ep>at,nʀʷˤat,娘,二,合,鎋,入,女刮,nwat,lua5,妠3,婠妠配疊韻，膃肭同源
入,文,ˤem>ˤən,nʷˤənɣ,泥,一,合,魂,上,乃本,núon,luen3,㶧,
入,月(月0),ep>at,nʀʷat,娘,三,合,薛B,入,女劣,nüät,lo5,吶,
入,月(月0),ep>at,dʀʷath,澄,三,合,祭B,去,除芮,dcüèj,zhuei4,𨧨,
入,文,ˤem>ˤən,nʷˤənh,泥,一,合,魂,去,奴困,nùon,luen4,抐,
入,物,ˤep>ˤət,nʷˤət,泥,一,合,沒,入,内骨,nuot,lu5,㕯肭抐𣧍訥,
入,物,ˤep>ˤət,nʀʷˤət,娘,二,合,黠,入,女滑,nwät,lua5,㕯肭豽,
入,月(月0),ep>at,nʷat,日,三,合,薛A,入,如劣,njvät,ro5,蜹㕯焫,
入,月(月0),ep>at,nʷath,日,三,合,祭A,去,而銳,njvèj,ruei4,蜹芮汭枘笍1鈉,
入,月,,,日,三,合,祭A,去,人(以)芮,jvèj,ruei4,蜹,字林人劣翻
八,見(元1),,pʰʀˤɛnh,滂,二,開,山,去,匹莧,phrä̀n,pang4,盼,
八,文,,pʰənɣ,滂,三,合,文,上,敷粉,phüë́n,fen3,忿魵,
八,文,,pʰənh,滂,三,合,文,去,匹問,phüë̀n,fen4,忿魵,
八,文,,bən,並,三,合,文,平,符分,büën,fen2,魵,
八,文,,bənɣ,並,三,合,文,上,房吻,büë́n,fen4,魵,
八,文,,pʰənh,滂,三,合,文,去,匹問,phüë̀n,fen4,湓,
八,文,,pʰˤənh,滂,一,合,魂,去,普悶,phùon,pen4,湓,
八,文,,bˤən,並,一,合,魂,平,蒲奔,buon,pen2,葐湓盆𪂽,
八,文,,bən,並,三,合,文,平,符分,büën,fen2,葐蚡汾羒枌棼𧮱妢梤,
